  432   400    37   188   237   437   297    59   444   113   326 
  128   175   395   267   451    93    14    49   236    27   478 
  346   266   225    81   143   436   374    37   217   304   216 
  400    21   271   342   324   446   279   337   146   318   416 
   88   444   430   174   398   187   491   398   441   479   409 
  116   222   279   135   366   162    88    74   447   292   209 
  114   343    18   343   263   490   104   147   159   447    16 
  469   180   343   137    81    10   316   386   108   204    54 
  290   150    20   349   498   496   164   124   458    29   125 
   32   267   159    13   353   461   436   149   456   137   452 
  467    32    19   402   302    25   376   145   240   314   421 
  301   192    92   101   196   214   422   158   117   483   361 
  266   136   181   135   242   478   404   379   450    21    22 

